"Movie_name","Usernames","Date","Content","Rating"
"TANGLED","TheLittleSongbird","30 January 2011","I am a huge Disney and animation fan, and was really interested in seeing Tangled. For me Disney have so many classics under their wing, Beauty and the Beast, The Lion King, Sleeping Beauty, Snow White, Bambi, Pinocchio, The Little Mermaid and Aladdin especially. For over a decade, the past Disney films ranged from very enjoyable(Emperor's New Groove) to truly disappointing(Chicken Little)- The Hunchback of Notre Dame and Tarzan were the last ones to truly blow me away- until now.While Tangled had me interested, I didn't like how the film was advertised. The trailer looked as though the film would be a Dreamworks knock-off, and I didn't think much of the title either. I needn't have worried, Tangled was wonderful and Disney's best film in a while(I know I said that about last year's Princess and the Frog, yes I actually liked that too, but after seeing Tangled I've changed my mind). The film is so much better than its advertising suggested, it is not a knock-off of Dreamworks and more importantly it not only has the Disney magic but it has something for both kids and adults.What wowed me immediately about Tangled was the animation. It is simply gorgeous. The colours look beautiful, the backgrounds are stunning especially that surrounding Rapunzel's tower and the characters are very well modelled. The real revelations are with Rapunzel's hair, which is a masterstroke and also the floating lanterns, a scene of true beauty and very touching. Alan Menken's music was a surprise and in a good way. For me, this was his best score since The Hunchback of Notre Dame(that score is amazing), I was especially taken with the Kingdom Dance.The songs are also not bad at all, they are not quite instant classics like Colours of the Wind, Beauty and the Beast, When You Wish Upon a Star, Heigh Ho, Part of Your World, Circle of Life, Hellfire, Under the Sea, Whole New World and Bells of Notre Dame are, but they are listenable with beautiful melodies and surprisingly decent lyrics. The best for me were the stunning I See the Light and the goosebump-inducing Mother Knows Best.The writing is another strong asset. Tangled has some truly excellent writing, particularly with Flynn and Rapunzel, it is funny, witty and even touching. The storytelling is polished and is snappily paced, with the action sequences lively and the ending fitting well with the rest of the movie. When I saw the trailer I was expecting a story scattered with pop-culture references and almost laughter-free dialogue, but actually the storytelling does have a classic feel to it and some scenes like the aforementioned floating lanterns give the film its magic.I also loved Tangled's characters. Rapunzel is one sassy heroine and is also someone young girls in particular can relate to. Flynn is a charming, dashing and charismatic hero too, and his interaction with Rapunzel alone gives Tangled its spark. Mother Gothel is another strong character, in her character you can see shades of both Lady Tremaine and Frollo, and on top of that she is a very intriguing villainess. Even more surprising were the comic relief characters. There have been animated films/Disney films where the comedy either works like a glove(Emperor's New Groove), is either hit or miss(I say this with a heavy heart, Hunchback of Notre Dame) or doesn't work at all(Chicken Little). Here the comedy works perfectly, hilarious without being too over-the-top. Pascal is both hilarious and cute and Maximus the horse is a sheer delight in everything he does.The voice acting also adds a lot to the film. Mandy Moore is a perfect choice for Rapunzel, she has a pleasant speaking voice and a beautiful singing voice. I loved the charisma Zachary Levi brings to Flynn, his voice is one of the main reasons why Flynn is as likable as he is, while Donna Murphy is perfect as Mother Gothel.In conclusion, this was a wonderful film and I recommend it heartily for both kids and adults. For Disney fans too, I think you will be delighted, if you want humour, adventure, beautiful animation, good music, classic storytelling, witty scripting and likable characters, Tangled is a perfect match. 10/10 Bethany Cox","
            10/10
            "
"TANGLED","planktonrules","29 December 2010","I was frankly quite amazed by this film. After all, last year Pixar brought us ""Up"" and this year Dreamworks brought us ""How to Train Your Dragon""—there was no way that anyone could produce a CGI film that is every bit as good, could they?! Yet, surprisingly, I adored ""Tangled"" and enjoyed it just as much as these other films—showing that we are in a period of time when amazingly wonderful computer animation has become the norm.""Tangled"" is wonderful for two main reasons. Foremost, the animation style is so new and vibrant—and looks so much unlike all the other recent CG I films. I read that Disney deliberately tried to create a computer-generated film that looked a lot like a traditionally animated film—and the exquisitely rendered backgrounds attest to the fact that they achieved this goaland more. The other reason I adored it was because the film had a magnificent sense of humor—making a very simple story much, much more enjoyable. The animal friends (the horse and chameleon) were terrific and the film had me laughing repeatedly—particularly with its surprisingly adorable barbarian hoard (who, incidentally, remind me a lot of the Capital One commercials' Vikings). The final reason I loved the film, though it's not as prominent as the other two reasons, is the wonderful love story. The final scene of self-sacrifice by the male hero is touching—and set my tear ducts flowing.By the way, it turns out the only thing about the film I did NOT love (the similarity of the ending to that of Disney's ""Beauty and the Beast"") was NOT the fault of bad writing—it's actually one of the few aspects of the that is from the original fairy tale! This tidbit comes from my amazing older daughter who is a folklore major.The bottom line—watch this film! You'll be glad you did—and it's much better than it appears to be based on the TV commercials and previews.","
            10/10
            "
"TANGLED","intelearts","9 January 2011","With jaw-dropping graphics and an abundance of heart this is simply what you would wish for in a fairy tale: memorable, magical, and magnificent.We cannot remember the last time we saw a film that was simply so entertaining - there is almost nothing to complain about here in any way and much to praise from values to comedy to several scenes that were genuinely moving - this really is one of the best movies of the year and deserves its massive box office success.If perhaps you are reluctant to see it as you think it will just rehash old Disney ideas or be unsuitable for small children I would say those are always my first concerns, but here for the first time in a very long time I can honestly say that here we have a film that holds its own integrity and so, even with the villain's death, you don't feel that it was put in to scare.All in all, a magical, hilarious, witty, and very well thought through movie that deserves the Oscar that is surely coming to it - simply the best animated movie of the year as, more even than Toy Story 3, it rises beyond animation to make a wonderful heart-filled adventure that makes for very satisfying viewing indeed.Thank you, Disney.","
            10/10
            "
"TANGLED","Marshall-D-Teach","15 February 2020","A wonderful movie! I had forgotten all about Tangled, and am so glad I got to see it on the big screen. A great story with fun characters and beautiful animation that still looks new.","
            8/10
            "
"TANGLED","Blueghost","24 November 2010","A few days ago I saw ""Megamind"", and thought it was just okay. I enjoyed it for what it was, but I didn't think it too spectacular. My faith in CGI entertainment was on the wane.Well, tonight Disney pulled me from that depression, and help reinvigorate my belief in, well, just plain Disney.What we have here is Rapuntzel turned on her head, with a dash of ""Snow White"" and ""Sleeping Beauty"" stirred in to keep our interest.The film was charming, clever and witty without being too much of either. The comic timing was toned down for the young kiddies in the audience, mostly little girls and some younger boys, but the comedic aspect itself did not lose luster for this. If anything it showed just what good clever comedy was. Note Rapuntzel's improvised weapon, and how she brings it to bear on the baddies in the local tavern. Classic character sketch comedy, and I don't care if I was the only one who noticed it and was laughing. You're supposed to laugh!The story itself regards fleeing the nest from a ""Mime"" like character, whose interest in our heroine is less than altruistic. The dashing rogue comes in to ground the story and keep Mandy Moore's character from running amuck and falling into despair.All in all, even though a middle aged dude like myself is no where near the target audience, I enjoyed it immensely. Some criticisms; the villainess seemed marginally cliché. She had the liberated 70s woman gone bad thing going on for her, but it almost seems like we may have seen this character before. Not sure, really. The horse was extremely likable, but his rider could have played more of a role. In fact the supporting cast almost seemed as if they were denied screen time so we could revel in Rapuntzel's golden locks. For all that, and even though the action did dive into classic Warner Brother's cartoon territory, ""Tangled"" does make a very respectable showing.That, and it was good to hear the voice of Richard Kiel play a big galoot who turns out to be a good guy. :)My final note is that there was a very good message for young girls at the end, and in fact anyone with some sense will have caught on to it. It's a message that won't last too long, but hopefully will serve as a reminder to those who paid attention. Remember, hair isn't everything. Regardless of color *wink*Take the family, but, if you're the father, then please, PLEASE, do not spend countless minutes like the idiot in front of me paying for his four member family with several credit cards while the ticket taker next to him managed to whiz through four or five parties of several members each for the 7:20 showing at the Redwood City theatre on Theatre Row.Yeah, if you're reading this, you know who you are. Stop being a putz!Everyone else, go see and enjoy the film :)","
            10/10
            "
"TANGLED","blackmambamark","28 November 2010","Honestly, when is the last time you saw a decent Disney Animated feature? No no, PIXAR does not count. I'm talking about just a regular ol' straight laced Disney flick. If your like me, I'm sure your answer falls somewhere in the mid 90's. But isn't that a shame? What happened to the totally awesome Disney movies? If your excuse is because of technology, i assure you that your wrong. You can make a great animated movie without resorting to actual hand drawn art. But where is that old feeling we all use to share? Well i can tell you this much....i already knew that Disney had something special here, mainly because the VP of PIXAR jumped ship and decided to fund this project. The first time anyone from PIXAR has ever done so, let alone the freakin VP. So needless to say, Disney finally had enough, and pulled out all the stops for this one.I kid you not when i say this....""Tangled"" is easily the best Disney Animated feature i have seen since ""Aladdin"".....yes, it is that good. They finally let go of trying to find something new and different and settled with what was working for them almost 20 years ago. It's a princess tale that easily falls into the same category with the classics. So wait, does that mean i'm comparing it to the likes of ""Snow White"" ""Cinderella"" and ""Sleeping Beauty""? You damn right i am! Sure the storyline is cliché' and relative to other Disney classics, but it felt so good to see and feel something that helped recall your childhood. But other than those minor speed bumps, the movie is spot on. The animation is spectacular, and you would be a fool not to see it in 3D. The musical sequences didn't seem forced and were never boring. And i can almost guarantee you that it will snag the best song award at the Oscars. I'm just glad that they didn't work the story around the music, which is what a lot of animated features tend to slip up on. But this one did an amazing job of hybriding them together.Bottom Line, ladies and gentleman, this is the Disney picture you have been waiting for. It will definitely win your heart and please audiences both young and old.","
            10/10
            "
"TANGLED","DarkVulcan29","13 December 2010","Flynn Ryder(voice by Zachery Levi) a charming but clumsy thief, who after a heist, and nearly escapes with his life, finds his way too a tower, that appears to be isolated, but it's not, cause an 18 year old girl named Rapunzel(voiced by Mandy Moore) with magical long hair lives there. She strikes a bargain with Flynn, Rapunzel has hidden his stolen goods, and tells him that if he takes her to see a mysterious lights in the sky, Flynn agrees to it, but the question is will they get there?The most fun animation since Shrek and Toy Story. I mean the animation just jumps out at you. And Perfect voice casting, Zachery Levi and Mandy Moore where just too perfect. So was Donna Murphy and Brad Garratt in there roles. I believe this film will be enjoyed for many years to come, by kids and adults.","
            9/10
            "
"TANGLED","leplatypus","15 January 2011","I liked so much this movie that i watched it two times on screen (my last back-to-back was ""Indi 4""): one with my nephews and the other alone but in 3D and as usual, 3D ins't the ultimate experience (Imax is better) because eyes get used quickly and the colors are darker.I was nearly tempted to name it my movie of 2010 but i prefer a movie with real people instead. Nevertheless, this Rapunzel is the best female character that Disney gives us since Princess Jasmin. To be honest, as much as it's disturbing, i found her very sexy and i wonder if her genes aren't not rated (look for a C. S.). But, looks don't make soul and her personality is as well very engaging: she dreams, she smiles and she cares! I don't know the original fairy tale but i really appreciate the lessons of rebellion and emancipation depicted here: As teens, we are torn between fear of parents and joy of disobeying and the solution is to learn how to say ""no"" to our parents. Here, those moments are showed with wisdom and talent.Finally, my niece was happy because she was lifted by this beautiful pink princess (almost a sister for her) while my nephew got bored because the movie was lacking action and fights! In a decade, i am sure he will change his opinion!","
            9/10
            "
"TANGLED","maestro-20","25 November 2010","I was apprehensive, to say the least, when I went to see Tangled, after the disappointment that was Princess and the Frog. First, Disney's back with CGI animation, which hasn't really worked that great except, maybe to some extent, Bolt. Second, the trailers made it look really slapstick -- I'm rather wary of today's animation features that try too hard to be hip and fast-paced and silly.I was pleasantly surprised. Sure, there were slapstick and broad humor sure to make little kiddos laugh. But I was surprised by the sophistication as well. The screwball comedy between the hero and heroine is very well done; adults can appreciate that. The sidekicks, in particular the Max and Pascal, are hilarious. The hero and heroine are very likable and not flat. And there's a sense of sadness/wistfulness throughout the whole show that the adults will understand.But what really is great is the animation. This is Pixar-worthy great. In fact, after a while I forgot it was CGI (which tends to be a bit stiff and crude when it comes to character animation). The human characters have that hand-drawn quality even though they're CG. In fact, they're more expressive than the hand-drawn characters in Princess and the Frog. The backgrounds are gorgeous (I can count every blade of grass). And there's an iconic scene where the kingdom rouses from darkness to light with thousands of floating lanterns -- it really is magical. It reminds me of classics such as Beauty and the Beast and Sleeping Beauty.Best of all, the movie is not just all laughs and slapstick. It has heart too. Even the minor characters such as the King and Queen -- you can feel the emotions. And the romance is believable and not cheesy.Like I said, I was very pleasantly surprised. It's something that is worthy of Pixar, and I'm glad to see Disney back on their game. While Princess and the Frog was a missed opportunity, Tangled is almost perfect.","
            10/10
            "
"TANGLED","sagei","14 January 2012","Not just in a cornball sense. Could have coined the term for this movie. Leaves you warm and fuzzy but also pleasantly surprised that an old favourite can still be so well adapted for a new audience.The silliness feels distinctly contrived. A clumsy nod to Disney tradition.The music often feels equally stilted.In stark contrast to some surprisingly polished and intricate action sequences.The romance provides heartwarming and heartwrenching moments.The cast is superb. They bring the story to life and keep it moving at a fair clip towards a wonderfully satisfying conclusion.Wish them well. Hope to see more like this. Already watched it many times and will watch it many more.Thank you.","
            10/10
            "
